Code,Grouping,Classification,Specialization,Definition,Notes,Display Name,Section
207PT0002X,Allopathic & Osteopathic Physicians,Emergency Medicine,Medical Toxicology,"Medical toxicologists are physicians who specialize in the prevention, evaluation, treatment and monitoring of injury and illness from exposures to drugs and chemicals, as well as biological and radiological agents. Medical toxicologists care for people in clinical, academic, governmental and public health settings, and provide poison control center leadership. Important areas of medical toxicology include acute drug poisoning, adverse drug events, drug abuse, addiction and withdrawal, chemicals and hazardous materials, terrorism preparedness, venomous bites and stings and environmental and workplace exposures.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Emergency Medicine, 2007.  http://www.abem.org/public/.   American Osteopathic Board of Emergency Medicine, 2007.  http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Emergency Medicine.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Emergency Medicine.",Medical Toxicology (Emergency Medicine) Physician,Individual
207PP0204X,Allopathic & Osteopathic Physicians,Emergency Medicine,Pediatric Emergency Medicine,Pediatric Emergency Medicine is a clinical subspecialty that focuses on the care of the acutely ill or injured child in the setting of an emergency department.,"Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source]  Additional Resources: American Board of Emergency Medicine, 2007.  http://www.abem.org/public/    Board certification is provided by the American Board of Emergency Medicine.  Board certification for Medical Doctors (MDs) is provided by the American Board of Emergency Medicine.",Pediatric Emergency Medicine (Emergency Medicine) Physician,Individual
207PS0010X,Allopathic & Osteopathic Physicians,Emergency Medicine,Sports Medicine,"An emergency physician with special knowledge in sports medicine is responsible for continuous care in the field of sports medicine, not only for the enhancement of health and fitness, but also for the prevention and management of injury and illness. A sports medicine physician has knowledge and experience in the promotion of wellness and the role of exercise in promoting a healthy lifestyle. Knowledge of exercise physiology, biomechanics, nutrition, psychology, physical rehabilitation and epidemiology is essential to the practice of sports medicine.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Emergency Medicine, 2007.  http://www.abem.org/public/.   American Osteopathic Board of Emergency Medicine, 2007.  http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Emergency Medicine.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Emergency Medicine.",Sports Medicine (Emergency Medicine) Physician,Individual
207PE0005X,Allopathic & Osteopathic Physicians,Emergency Medicine,Undersea and Hyperbaric Medicine,"A specialist who treats decompression illness and diving accident cases and uses hyperbaric oxygen therapy to treat such conditions as carbon monoxide poisoning, gas gangrene, non-healing wounds, tissue damage from radiation and burns, and bone infections.  This specialist also serves as a consultant to other physicians in all aspects of hyperbaric chamber operations, and assesses risks and applies appropriate standards to prevent disease and disability in divers and other persons working in altered atmospheric conditions.","Source: American Board of Emergency Medicine [7/1/2008: source added, additional resources added]    Additional Resources: Additional Resources: www.abem.org & American Board of Preventive Medicine www.abprevmed.org",Undersea and Hyperbaric Medicine (Emergency Medicine) Physician,Individual
207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
207QA0401X,Allopathic & Osteopathic Physicians,Family Medicine,Addiction Medicine,A family medicine physician who specializes in the diagnosis and treatment of addictions.,"Source: National Uniform Claim Committee, 2009 [1/1/2010: definition added, source added]    Additional Resources: A Certification of Added Qualifications (CAQ) was, but is no longer issued by the American Osteopathic Board of Family Physicians.",Addiction Medicine (Family Medicine) Physician,Individual
207QA0000X,Allopathic & Osteopathic Physicians,Family Medicine,Adolescent Medicine,"A family medicine physician with multidisciplinary training in the unique physical, psychological and social characteristics of adolescents and their health care problems and needs.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Family Medicine, 2007.  http://www.theabfm.org/.  American Osteopathic Board of Family Medicine, 2007.  http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Medicine.",Adolescent Medicine (Family Medicine) Physician,Individual
207QA0505X,Allopathic & Osteopathic Physicians,Family Medicine,Adult Medicine,The NUCC recommends this code not be used. Choose a more appropriate code.,,Adult Medicine Physician,Individual
207QD0401X,Allopathic & Osteopathic Physicians,Family Medicine,Diabetology,"A family medicine physician who specializes in diagnosis and management of type 1, type 2, gestational, and atypical diabetes; diabetes complications; hospital management of diabetic patients; use of technology in the treatment and monitoring of diabetes; management of ancillary diagnoses, such as hypertension, obesity, lipidemia, etc.; and education and counseling on nutrition and lifestyle management.","Source: American College of Diabetology, www.acdiabetology.org. Additional Resources: Board certification for physicians is provided by the American College of Diabetology.",Diabetology (Family Medicine) Physician,Individual
207QG0300X,Allopathic & Osteopathic Physicians,Family Medicine,Geriatric Medicine,"A family medicine physician with special knowledge of the aging process and special skills in the diagnostic, therapeutic, preventive and rehabilitative aspects of illness in the elderly. This specialist cares for geriatric patients in the patient's home, the office, long-term care settings such as nursing homes, and the hospital.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Family Medicine, 2007.  http://wwwtheabfm.org/.  American Osteopathic Board of Family Medicine, 2007.  http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Medicine.",Geriatric Medicine (Family Medicine) Physician,Individual
207QH0002X,Allopathic & Osteopathic Physicians,Family Medicine,Hospice and Palliative Medicine,"A family medicine physician with special knowledge and skills to prevent and relieve the suffering experienced by patients with life-limiting illnesses. This specialist works with an interdisciplinary hospice or palliative care team to maximize quality of life while addressing physical, psychological, social and spiritual needs of both patient and family throughout the course of the disease, through the dying process, and beyond for the family.  This specialist has expertise in the assessment of patients with advanced disease; the relief of distressing symptoms; the coordination of interdisciplinary patient and family-centered care in diverse venues; the use of specialized care systems including hospice; the management of the imminently dying patient; and legal and ethical decision making in end-of-life care.","Source: American Academy of Hospice and Palliative Medicine, www.aahpm.org [1/1/2007: new]",Hospice and Palliative Medicine (Family Medicine) Physician,Individual
207QB0002X,Allopathic & Osteopathic Physicians,Family Medicine,Obesity Medicine,"A physician who specializes in the treatment of obesity demonstrates competency in and a thorough understanding of the treatment of obesity and the genetic, biologic, environmental, social, and behavioral factors that contribute to obesity. The obesity medicine physician employs therapeutic interventions including diet, physical activity, behavioral change, and pharmacotherapy. The obesity medicine physician utilizes a comprehensive approach, and may include additional resources such as dietitians, exercise physiologists, mental health professionals and bariatric surgeons as indicated to achieve optimal results. Additionally, the obesity medicine physician maintains competency in providing pre- peri- and post-surgical care of bariatric surgery patients, promotes the prevention of obesity, and advocates for those who suffer from obesity.","Source:  American Board of Obesity Medicine, www.abom.org [10/1/2007: new, 7/1/2015: title and definition modified]  Additional Resource: American Society of Bariatric Physicians, www.asbp.org.",Obesity Medicine (Family Medicine) Physician,Individual
207QP0002X,Allopathic & Osteopathic Physicians,Family Medicine,Physician Nutrition Specialist,"A physician who specializes in the diagnosis and treatment of primary nutritional diseases (e.g., undernutrition, overnutrition, and genetic or acquired errors of metabolism) and adjunctive nutritional therapeutics (e.g., nutritional therapy or support of diseases states with a metabolic component). Physician Nutrition Specialists also provide services for nutritional disease prevention, including diabetes, cancer, Alzheimer’s, hospital malnutrition screening, and perioperative nutrition.","Source: National Board of Physician Nutrition Specialists, www.nbpns.org.",Physician Nutrition Specialist (Family Medicine),Individual
207QS1201X,Allopathic & Osteopathic Physicians,Family Medicine,Sleep Medicine,"A Family Medicine Physician who practices Sleep Medicine is certified in the subspecialty of sleep medicine and specializes in the clinical assessment, physiologic testing, diagnosis, management and prevention of sleep and circadian rhythm disorders. Sleep specialists treat patients of any age and use multidisciplinary approaches. Disorders managed by sleep specialists include, but are not limited to, sleep related breathing disorders, insomnia, hypersomnias, circadian rhythm sleep disorders, parasomnias and sleep related movement disorders.","Source: American Academy of Sleep Medicine, 2008, www.aasm.org  [7/1/2008: new]",Sleep Medicine (Family Medicine) Physician,Individual
207QS0010X,Allopathic & Osteopathic Physicians,Family Medicine,Sports Medicine,"A family medicine physician that is trained to be responsible for continuous care in the field of sports medicine, not only for the enhancement of health and fitness, but also for the prevention of injury and illness. A sports medicine physician must have knowledge and experience in the promotion of wellness and the prevention of injury. Knowledge about special areas of medicine such as exercise physiology, biomechanics, nutrition, psychology, physical rehabilitation, epidemiology, physical evaluation, injuries (treatment and prevention and referral practice) and the role of exercise in promoting a healthy lifestyle are essential to the practice of sports medicine. The sports medicine physician requires special education to provide the knowledge to improve the health care of the individual engaged in physical exercise (sports) whether as an individual or in team participation.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Family Medicine, 2007.  http://www.theabfm.org/.  American Osteopathic Board of Family Medicine, 2007.  http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Medicine.",Sports Medicine (Family Medicine) Physician,Individual
208D00000X,Allopathic & Osteopathic Physicians,General Practice,,"A physician who specializes in the general practice of diagnosing, treating, and managing patients with a variety of illnesses and conditions.",Source: National Uniform Claim Committee,General Practice Physician,Individual
208M00000X,Allopathic & Osteopathic Physicians,Hospitalist,,"Hospitalists are physicians whose primary professional focus is the general medical care of hospitalized patients. Their activities include patient care, teaching, research, and leadership related to Hospital Medicine. The term 'hospitalist' refers to physicians whose practice emphasizes providing care for hospitalized patients.","Source: American Society of Hospital Medicine, 2007.  http://www.hospitalmedicine.org/ [7/1/2009: definition added]  Additional Resources: Hospitalist is a recognized fellowship specialty program offered by many medical institutions.  There is no board certification for the specialty at this point.",Hospitalist Physician,Individual
202C00000X,Allopathic & Osteopathic Physicians,Independent Medical Examiner,,"A special evaluator not involved with the medical care of the individual examinee that impartially evaluates the care being provided by other practitioners to clarify clinical, disability, liability or other case issues.","Source: American Board of Independent Medical Examiners, www.abime.org [1/1/2007: new]",Independent Medical Examiner Physician,Individual
202D00000X,Allopathic & Osteopathic Physicians,Integrative Medicine,,"A physician who specializes in the treatment of the whole person through prevention and treatment based on medical evidence. Integrative medicine considers all factors that influence health, wellness, and disease - including mind, body, and spirit. Conventional and alternative methods are used to facilitate the body's innate healing response. Appropriate consideration is given to use of less-invasive and less-harmful interventions, when possible. It also incorporates all appropriate therapeutic approaches, health care modalities, and disciplines to achieve optimal health and healing.","Source: American Board of Physician Specialties, www.abpsus.org/aboim",Integrative Medicine Physician,Individual
207R00000X,Allopathic & Osteopathic Physicians,Internal Medicine,,"A physician who provides long-term, comprehensive care in the office and the hospital, managing both common and complex illness of adolescents, adults and the elderly. Internists are trained in the diagnosis and treatment of cancer, infections and diseases affecting the heart, blood, kidneys, joints and digestive, respiratory and vascular systems. They are also trained in the essentials of primary care internal medicine, which incorporates an understanding of disease prevention, wellness, substance abuse, mental health and effective treatment of common problems of the eyes, ears, skin, nervous system and reproductive organs.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Internal Medicine, 2007.  http://www.abim.org/.  American Osteopathic Board of Internal Medicine, 2007.  http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Internal  Medicine.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Internal  Medicine.",Internal Medicine Physician,Individual
207RA0401X,Allopathic & Osteopathic Physicians,Internal Medicine,Addiction Medicine,An internist doctor of osteopathy that specializes in the treatment of addiction disorders.  A doctor of osteopathy that is board eligible/certified by the American Osteopathic Board of Internal Medicine can obtain a Certificate of Added Qualifications in the field of Addiction Medicine.,"Source: American Osteopathic Board of Internal Medicine, 2007.  [7/1/2008: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: http://www.osteopathic.org/certification",Addiction Medicine (Internal Medicine) Physician,Individual
207RA0000X,Allopathic & Osteopathic Physicians,Internal Medicine,Adolescent Medicine,"An internist who specializes in adolescent medicine is a multi-disciplinary healthcare specialist trained in the unique physical, psychological and social characteristics of adolescents, their healthcare problems and needs.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Internal Medicine, 2007.  http://www.abim.org/.  American Osteopathic Board of Internal Medicine, 2007.  http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Internal  Medicine.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Internal  Medicine.",Adolescent Medicine (Internal Medicine) Physician,Individual
